"Title","Author","Publisher","Price","Old_Price"
"Давай встречаться! Как построить счастливые отношения с тем, кто тебе нравится",NA,"Манн, Иванов и Фербер",558,"715"
"Загадка старого особняка",NA,"Эксмо",504,NA
"Тайна «Школы Приквиллоу»",NA,"Эксмо",444,NA
"Фтука",NA,"Эксмодетство",454,NA
"Стихи. Сказка","Михалков Сергей Владимирович","Малыш",638,NA
"Спасение долины Дивных роз","Ливаниос Элени","Стрекоза",621,"887"
"Холодное сердце. Гениальный план Олафа",NA,"Эксмодетство",394,NA
"Холодное сердце. Призраки Эренделла",NA,"Эксмодетство",394,NA
"Приключения капитана Врунгеля","Некрасов Андрей Сергеевич","АСТ",157,"201"
"Кортик","Рыбаков Анатолий Наумович","Эксмо",197,"252"
"Лето на Цеоде",NA,"АСТ",473,"606"
"Мальчик и Тьма","Лукьяненко Сергей Васильевич","АСТ",473,"606"
"Никто из Ниоткуда","Джонс Цербер","Эксмо",394,NA
"Как ежик лето спасал","Чертова Елена","Стрекоза",382,"546"
"Я потом верну…","Бахурова Евгения Петровна","Стрекоза",382,"546"
"Бунт!","Лэдд Джим","Стрекоза",335,"478"
"В западне!","Лэдд Джим","Стрекоза",335,"478"
"К сокровищам!","Лэдд Джим","Стрекоза",335,"478"
"Тайный пассажир!","Лэдд Джим","Стрекоза",335,"478"
"Драконья сага. Легенды. Мракокрад","Сазерленд Туи Т.","АСТ",557,NA
"Нэнси Дрю и дело о красном ара","Кин Кэролайн","АСТ",355,NA
"Физика с Машей Трауб и Василием Колесниковым","Трауб","Аванта",455,NA
"Познакомимся поближе! Жители джунглей",NA,"Свежий ветер",177,"253"
"Познакомимся поближе! Животные Африки",NA,"Свежий ветер",177,"253"
"Познакомимся поближе! Лесные жители",NA,"Свежий ветер",177,"253"
"Познакомимся поближе! Обитатели фермы",NA,"Свежий ветер",177,"253"
"Алые паруса. Повести","Грин Александр Степанович","АСТ",243,"312"
"Аленький цветочек сказка",NA,"Вакоша",512,"732"
"Вежливый ослик","Пивоварова Ирина Михайловна","Вакоша",69,"99"
"Два очень смелых кролика","Пивоварова Ирина Михайловна","Вакоша",80,"114"
"Синий вечер","Пивоварова Ирина Михайловна","Вакоша",80,"114"
"Загадка старинных медальонов","Ноубел Джулия","Эксмо",404,NA
"Китти и праздник, который нужно спасти","Харрисон Пола","Эксмодетство",383,NA
"В гостях у грибного народца","Аспелин Сигне","Добрая книга",390,"557"
"Детективы-футболисты. Тайна 7 голов","Сантьяго Роберто","Wonder Books",606,NA
"Большая книга хороших манер","Агаронова Виктория Игоревна","Малыш",722,NA
"Большая книга развития малыша 2-3 года",NA,"Малыш",638,NA
"Я умею рисовать линии. 2-3 года","Луцишина Наталья Александровна","Малыш",385,NA
"Я умею проходить лабиринты. 2-3 года","Луцишина Наталья Александровна","Малыш",385,NA
"Я умею вырезать и клеить. 2-3 года",NA,"Малыш",385,NA
"Сохраним планету! Сократить, использовать повторно и переработать","Годжерли Лиз","Редакция Вилли Винки",638,NA
"Библейские истории для детей","Чима Лодовика","Редакция Вилли Винки",1004,NA
"Мишутка идет в детский сад","Мосс Мириам","Редакция Вилли Винки",369,NA
"Сладких снов, Мишутка!","Мосс Мириам","Редакция Вилли Винки",369,NA
"Мишутка - старший брат","Мосс Мириам","Редакция Вилли Винки",369,NA
"Первый раз - в первый класс!","Маршак Самуил Яковлевич","Малыш",744,NA
"Минералы России. Определитель",NA,"Аванта",369,NA
"Чук и Гек","Гайдар Аркадий Петрович","Эксмо",165,"212"
"Борьба Иви","Вебб Холли","Эксмо",425,NA
"Зефирное волшебство","Вебб Холли","Эксмодетство",293,NA
"Клубничный корабль","Вебб Холли","Эксмодетство",293,NA
"Дневник пропавшего профессора","Геммель Штефан","Эксмодетство",404,NA
"Секрет дома с привидениями","Райт Бетти Рен","Эксмо",504,NA
"Физика на пальцах. Для детей и родителей","Никонов Александр Петрович","АСТ",485,NA
"Как нарисовать 100 картинок для девочек. Шаг за шагом",NA,"Малыш",201,NA
"Я - сестра Тоторо","Богатырева Ирина Сергеевна","Детская литература",404,"518"
"Мы считаем с ""Трулли-Пулли""","Волков Алексей Александрович","У Никитских ворот",273,"390"
"Мир вокруг нас (для детей 6-7 лет)","Бортникова Елена Федоровна","Литур",70,"100"
"Читаем перед сном","Кулешова","Литур",99,"142"
